step,seg,elapsed_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
121,0,278.70,0.62,-0.92,0.62,0.82,-0.73,-7.27,0,0.00,0.77,0.00,0.31,0,0,0,-0.12,0,,36.9
122,0,278.67,0.67,-0.93,0.65,1.49,0.04,3.20,0,0.27,0.00,0.88,0.00,0,0,0,-0.12,0,,36.9
123,0,278.63,0.71,-0.93,0.74,1.35,0.05,2.54,0,0.00,0.81,0.42,0.00,0,0,0,-0.12,0,,36.9
124,0,278.60,0.75,-0.93,0.81,1.32,-0.06,1.94,0,0.00,0.37,0.00,0.82,0,0,0,-0.12,0,,36.9
125,0,278.57,0.80,-0.93,0.86,1.36,-0.12,1.28,0,0.00,0.50,0.72,0.00,0,0,0,-0.12,0,,36.9
126,0,278.54,0.84,-0.93,0.89,1.25,-0.12,0.62,0,0.72,0.00,0.58,0.00,1,0,0,-0.12,0,,36.9
127,0,278.51,0.88,-0.94,0.90,1.15,-0.09,0.02,0,0.00,0.56,0.70,0.00,0,0,0,-1.12,0,,37.9
128,0,278.47,0.91,-0.94,0.89,1.10,-0.20,-0.64,1,0.00,0.77,0.00,0.54,0,0,0,-0.02,0,,37.9
129,0,278.44,0.95,-0.95,0.86,1.19,-0.32,-1.30,0,0.00,0.51,0.00,0.71,1,0,0,-0.12,0,,37.9
130,0,278.41,0.99,-0.96,0.81,1.29,-0.41,-1.90,0,0.26,0.00,0.96,0.00,0,1,0,-0.12,0,,37.9
131,0,278.38,1.03,-0.97,0.73,1.18,-0.36,-2.56,0,0.89,0.00,0.12,0.00,0,0,0,-0.12,0,,37.9
132,0,278.35,1.07,-0.98,0.64,1.17,-0.22,-3.22,0,0.83,0.00,0.00,0.30,0,0,0,-0.12,0,,37.9
133,0,278.31,1.09,-1.00,0.58,-0.07,-0.97,1.62,0,0.00,0.11,0.00,0.87,0,0,0,-0.12,0,,37.9
134,0,278.28,1.09,-1.03,0.62,0.07,-0.98,0.96,0,0.00,0.05,0.00,0.86,1,0,0,-0.12,0,,37.9
135,0,278.25,1.10,-1.06,0.64,0.20,-0.97,0.30,0,0.57,0.00,0.00,0.66,1,0,0,-0.12,0,,37.9
136,0,278.22,1.10,-1.09,0.64,0.27,-0.93,-0.30,1,0.00,0.85,0.02,0.00,0,0,0,-0.02,0,,37.9
137,0,278.19,1.11,-1.12,0.62,0.22,-1.06,-0.96,0,0.00,0.52,0.71,0.00,1,0,0,-0.12,0,,37.9
138,0,278.15,1.12,-1.16,0.57,0.13,-1.11,-1.62,0,0.77,0.00,0.00,0.34,0,0,0,-0.12,0,,37.9
139,0,278.12,1.14,-1.18,0.58,0.93,-0.66,0.37,0,0.36,0.00,0.77,0.00,1,0,0,-0.12,0,,37.9
140,0,278.09,1.17,-1.20,0.58,0.81,-0.67,-0.29,0,0.00,0.73,0.44,0.00,1,0,0,-0.12,0,,37.9
141,0,278.06,1.19,-1.23,0.62,0.33,-0.84,7.34,1,0.00,0.39,0.79,0.00,1,0,0,-0.02,0,,37.9
142,0,278.03,1.20,-1.25,0.83,0.21,-0.85,6.74,0,0.44,0.00,0.75,0.00,0,0,0,-0.12,0,,37.9
143,0,277.99,1.20,-1.28,1.04,0.16,-0.84,6.08,0,0.00,0.51,0.00,0.71,0,0,0,-0.12,0,,37.9
144,0,277.96,1.21,-1.31,1.23,0.28,-0.91,5.42,0,0.24,0.00,0.00,0.88,0,0,0,-0.12,0,,37.9
145,0,277.93,1.22,-1.34,1.38,0.41,-0.90,4.82,0,0.00,0.46,0.00,0.77,0,0,0,-0.12,0,,37.9
146,0,277.90,1.24,-1.37,1.53,0.54,-0.98,4.16,0,0.00,0.28,0.00,0.88,0,0,0,-0.12,0,,37.9
147,0,277.87,1.26,-1.40,1.65,0.63,-0.95,3.50,0,0.86,0.00,0.00,0.14,1,0,0,-0.12,0,,37.9
148,0,277.83,1.28,-1.43,1.75,0.66,-0.84,2.90,0,0.41,0.00,0.00,0.81,0,0,0,-0.12,0,,37.9
149,0,277.80,1.30,-1.45,1.83,0.78,-0.81,2.24,0,0.00,0.68,0.00,0.46,1,0,0,-0.12,0,,37.9
150,0,277.77,1.33,-1.48,1.89,0.77,-0.92,1.58,0,0.00,0.62,0.56,0.00,0,0,0,-0.12,0,,37.9
151,0,277.74,1.35,-1.51,1.93,0.69,-1.01,0.98,0,0.00,0.78,0.00,0.35,0,0,0,-0.12,0,,37.9
152,0,277.71,1.37,-1.55,1.95,0.70,-1.09,0.32,0,0.83,0.00,0.56,0.00,0,1,0,-0.12,0,,37.9
153,0,277.67,1.39,-1.58,1.95,0.61,-1.01,-0.34,0,0.00,0.80,0.37,0.00,0,0,0,-0.12,0,,37.9
154,0,277.64,1.41,-1.61,1.93,0.55,-1.13,-0.94,0,0.00,0.94,0.05,0.00,0,0,0,-0.12,0,,37.9
155,0,277.61,1.43,-1.65,1.89,0.52,-1.28,-1.60,0,0.00,0.62,0.68,0.00,0,0,0,-0.12,0,,37.9
156,0,277.58,1.44,-1.70,1.82,0.43,-1.27,-2.26,0,0.93,0.00,0.37,0.00,1,1,0,-0.12,0,,37.9
157,0,277.55,1.46,-1.73,1.74,0.37,-1.14,-2.86,0,0.00,0.76,0.39,0.00,0,0,0,-0.12,0,,37.9
158,0,277.51,1.47,-1.77,1.64,0.27,-1.22,-3.52,0,0.00,0.36,0.85,0.00,1,0,0,-0.12,0,,37.9
159,0,277.48,1.47,-1.81,1.51,0.15,-1.24,-4.18,0,0.98,0.00,0.22,0.00,0,1,0,-0.12,0,,37.9
160,0,277.45,1.48,-1.85,1.37,0.11,-1.10,-4.78,0,0.85,0.00,0.00,0.33,0,0,0,-0.12,0,,37.9
161,0,277.42,1.48,-1.88,1.20,0.08,-1.03,-5.44,0,0.00,0.24,0.85,0.00,0,0,0,-0.53,0,,38.3
162,0,277.38,1.48,-1.92,1.01,0.05,-1.02,-6.10,0,0.55,0.00,0.00,0.69,0,0,0,-0.12,0,,38.3
163,0,277.36,1.48,-1.94,0.82,0.16,-0.94,-6.70,0,0.90,0.00,0.00,0.13,1,0,0,-0.12,0,,38.3
164,0,277.32,1.49,-1.97,0.59,0.18,-0.80,-7.36,0,0.91,0.00,0.00,0.12,0,0,0,-0.12,0,,38.3
165,0,277.29,1.49,-1.98,0.66,-0.21,-0.05,3.07,0,0.00,0.67,0.63,0.00,1,0,0,-0.12,0,,38.3
166,0,277.26,1.48,-1.98,0.75,-0.27,-0.13,2.47,0,0.35,0.00,0.00,0.85,0,0,0,-0.12,0,,38.3
167,0,277.23,1.47,-1.98,0.82,-0.14,-0.06,1.81,0,0.78,0.00,0.00,0.50,0,0,0,-0.12,0,,38.3
168,0,277.19,1.47,-1.99,0.86,-0.13,-0.06,1.15,0,0.00,0.84,0.35,0.00,0,0,0,-0.12,0,,38.3
169,0,277.16,1.46,-1.99,0.89,-0.20,-0.18,0.55,0,0.00,0.35,0.81,0.00,0,0,0,-0.12,0,,38.3
170,0,277.13,1.45,-2.00,0.90,-0.30,-0.27,-0.11,0,0.00,0.87,0.10,0.00,0,0,0,-0.12,0,,38.3
171,0,277.10,1.44,-2.01,0.88,-0.31,-0.41,-0.77,1,0.00,0.85,0.00,0.29,0,0,0,-0.02,0,,38.3
172,0,277.07,1.43,-2.02,0.85,-0.27,-0.54,-1.37,0,0.67,0.00,0.52,0.00,1,0,0,-0.12,0,,38.3
173,0,277.03,1.42,-2.04,0.79,-0.30,-0.56,-2.03,0,0.00,0.91,0.00,0.19,0,0,0,-0.12,0,,38.3
174,0,277.00,1.41,-2.06,0.71,-0.35,-0.63,-2.69,0,0.18,0.00,0.86,0.00,0,0,0,-0.12,0,,38.3
175,0,276.97,1.40,-2.08,0.62,-0.48,-0.61,-3.29,0,0.00,0.48,0.00,0.81,0,0,0,-0.12,0,,38.3
