wall,step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
3.7,153748,1,288.27,44.87,56.42,0.56,-5.27,-3.44,0.00,1,0.00,0.47,0.79,0.00,0,0,0,0.98,0,,32.0
3.7,153749,1,288.20,44.51,56.18,0.56,-5.42,-3.94,0.00,1,0.00,0.83,0.15,0.00,0,0,0,-0.02,0,,32.0
3.7,153750,1,288.14,44.17,55.92,0.56,-5.56,-4.37,0.00,1,0.00,0.55,0.66,0.00,0,0,0,-0.43,0,,32.4
3.7,153751,1,288.07,43.82,55.63,0.56,-5.65,-4.82,0.00,1,0.00,0.85,0.21,0.00,0,0,0,0.98,0,,31.4
3.8,153752,1,288.01,43.45,55.30,0.56,-5.32,-4.84,0.00,1,0.65,0.00,0.00,0.76,0,1,0,-0.02,0,,31.4
3.8,153753,1,287.95,43.12,55.00,0.56,-5.32,-4.92,0.00,1,0.00,0.68,0.60,0.00,0,0,0,-0.43,0,,31.8
3.8,153754,1,287.88,42.77,54.68,0.56,-5.59,-5.27,0.00,1,0.00,0.72,0.63,0.00,0,0,0,0.98,0,,30.8
3.8,153755,1,287.82,42.39,54.32,0.56,-5.97,-5.53,0.00,1,0.00,0.51,0.78,0.00,0,0,0,-0.02,0,,30.8
3.9,153756,1,287.75,42.01,53.97,0.56,-5.86,-5.34,0.00,1,0.68,0.00,0.00,0.73,0,1,0,-0.43,0,,31.2
3.9,153757,1,287.69,41.67,53.65,0.56,-5.20,-4.74,0.00,1,0.67,0.00,0.00,0.74,0,1,0,0.98,0,,30.2
3.9,153758,1,287.62,41.34,53.36,0.56,-5.06,-4.43,0.00,1,0.00,0.36,0.86,0.00,0,0,0,-0.02,0,,30.2
3.9,153759,1,287.56,41.02,53.09,0.56,-4.72,-4.04,0.00,1,0.66,0.00,0.00,0.75,0,1,0,-0.43,0,,30.7
3.9,153760,1,287.50,40.74,52.85,0.56,-4.43,-3.34,0.00,1,0.77,0.00,0.51,0.00,0,0,0,0.98,0,,29.7
4.0,153761,1,287.43,40.44,52.66,0.56,-4.82,-2.90,0.00,1,0.00,0.28,0.85,0.00,0,0,0,-0.02,0,,29.7
4.0,153762,1,287.37,40.12,52.48,0.56,-5.09,-2.53,0.00,1,0.87,0.00,0.23,0.00,0,0,0,-0.02,0,,29.7
4.0,153763,1,287.31,39.80,52.35,0.56,-5.10,-1.64,0.00,1,0.85,0.00,0.36,0.00,0,0,0,0.98,0,,28.7
4.0,153764,1,287.24,39.46,52.27,0.56,-5.30,-0.89,0.00,1,0.55,0.00,0.74,0.00,0,0,0,-0.02,0,,28.7
4.0,153765,1,287.18,39.11,52.22,0.56,-5.71,-1.04,0.00,1,0.00,0.50,0.79,0.00,0,0,0,-0.02,0,,28.7
4.1,153766,1,287.12,38.75,52.14,0.56,-5.56,-1.19,0.00,1,0.23,0.00,0.00,0.91,0,0,0,0.98,0,,27.7
4.1,153767,1,287.05,38.41,52.07,0.56,-5.06,-0.66,0.00,1,0.94,0.00,0.06,0.00,0,0,0,-0.43,0,,28.1
4.1,153768,1,286.99,38.09,52.05,0.56,-5.19,-0.54,0.00,1,0.00,0.72,0.57,0.00,0,0,0,-0.02,0,,28.1
4.1,153769,1,286.92,37.75,51.99,0.56,-5.52,-1.07,0.00,1,0.00,0.38,0.81,0.00,0,0,0,0.98,0,,27.1
4.2,153770,1,286.86,37.37,51.91,0.56,-5.81,-1.59,0.00,1,0.00,0.77,0.44,0.00,0,0,0,-0.02,0,,27.1
4.2,153771,1,286.79,37.01,51.79,0.56,-5.45,-1.81,0.00,1,0.26,0.00,0.00,0.96,0,1,0,-0.02,0,,27.1
4.2,153772,1,286.73,36.70,51.69,0.56,-4.59,-1.55,0.00,1,0.32,0.00,0.00,0.95,0,1,0,0.98,0,,26.1
4.2,153773,1,286.67,36.41,51.59,0.56,-4.21,-1.74,0.00,1,0.00,0.83,0.44,0.00,0,0,0,-0.02,0,,26.1
4.2,153774,1,286.60,36.14,51.46,0.56,-4.60,-2.04,0.00,1,0.05,0.00,0.89,0.00,0,0,0,-0.02,0,,26.1
4.3,153775,1,286.54,35.84,51.32,0.56,-4.77,-2.58,0.00,1,0.00,0.95,0.02,0.00,0,0,0,0.98,0,,25.1
4.3,153776,1,286.47,35.52,51.14,0.56,-5.18,-2.55,0.00,1,0.27,0.00,0.90,0.00,0,0,0,-0.02,0,,25.1
4.3,153777,1,286.41,35.19,50.98,0.56,-4.88,-2.88,0.00,1,0.00,0.85,0.00,0.42,0,0,0,-0.43,0,,25.5
4.3,153778,1,286.35,34.90,50.78,0.56,-4.77,-3.24,0.00,1,0.00,0.18,0.91,0.00,0,0,0,-0.02,0,,25.5
4.3,153779,1,286.28,34.56,50.57,0.56,-5.36,-3.09,0.00,1,0.18,0.00,0.88,0.00,0,0,0,0.98,0,,24.5
4.4,153780,1,286.22,34.22,50.39,0.56,-5.13,-2.50,0.00,1,0.79,0.00,0.00,0.41,0,0,0,-0.02,0,,24.5
4.4,153781,1,286.15,33.91,50.25,0.56,-5.06,-2.14,0.00,1,0.00,0.19,0.88,0.00,0,0,0,-0.02,0,,24.5
4.4,153782,1,286.09,33.56,50.11,0.56,-5.58,-2.05,0.00,1,0.21,0.00,0.81,0.00,0,0,0,0.57,0,,23.9
