update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
83826,191859497,12145,16214.7347,-0.003736,0.010485,0.499864
83827,191867688,12146,16228.9042,-0.003137,0.015861,0.499665
83828,191875878,12147,16267.3209,-0.002398,0.006671,0.499884
83829,191884070,12147,16267.3209,-0.001452,0.012040,0.499882
83830,191892261,12148,16240.7686,-0.002792,0.017463,0.499741
83831,191900452,12149,16246.6612,-0.004766,0.019835,0.499904
83832,191908644,12149,16246.6612,-0.003050,0.009812,0.499804
83833,191916835,12150,16228.6897,-0.005369,0.016549,0.499827
83834,191925026,12151,16244.3332,-0.005816,0.015626,0.500070
83835,191933217,12152,16244.5251,-0.002617,0.016252,0.499963
83836,191941409,12152,16244.5251,-0.000408,0.013541,0.499797
83837,191949599,12153,16262.9369,-0.007859,0.010759,0.499879
83838,191957790,12154,16272.7128,-0.001334,0.019301,0.499915
83839,191965982,12154,16272.7128,-0.005859,0.018225,0.499799
83840,191974173,12155,16251.8898,-0.002637,0.016338,0.499783
83841,191982364,12156,16273.3907,-0.002293,0.011976,0.499667
83842,191990554,12157,16317.2203,-0.003856,0.008677,0.499533
