tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
693,-5.319,19.635,18.651,5.779,0.258,-10.536,9.369,-7.881,-4.635,-0.852,-0.156,0.994,0.000,0.000
697,-4.961,19.645,17.945,5.548,0.126,-11.796,9.851,-8.239,-4.645,-1.328,-0.124,0.996,0.000,0.000
701,-4.606,19.652,17.121,5.218,0.078,-13.116,10.407,-8.594,-4.652,-1.037,-0.502,0.996,0.000,0.000
705,-4.288,19.654,16.253,4.917,-0.032,-14.376,10.994,-8.912,-4.653,-0.647,0.180,0.996,0.000,0.000
709,-3.988,19.651,15.306,4.608,-0.015,-15.636,11.644,-9.212,-4.651,-1.149,-0.077,0.996,0.000,1.000
713,-45.250,27,24,0,0,0,34.382,32.050,-12,0.520,0.080,0.969,0.000,0.000
717,-45.259,26.999,23.945,-0.069,-0.002,-1.440,34.384,32.059,-11.999,1.141,0.035,0.968,0.000,0.000
721,-45.254,27.000,23.813,0.226,0.009,-2.700,34.367,32.054,-12.000,1.280,-0.584,0.965,0.000,1.000
725,-45.238,27.000,23.589,0.099,-0.005,-4.020,34.334,32.038,-12.000,1.022,-0.076,0.956,0.000,0.000
729,-45.232,26.999,23.294,0.220,-0.038,-5.280,34.304,32.032,-11.999,0.893,0.372,0.979,0.000,0.000
733,-45.209,26.998,22.920,0.502,0.035,-6.540,34.255,32.009,-11.998,1.250,0.122,0.980,0.000,0.000
737,-45.165,27.003,22.443,0.804,0.088,-7.860,34.189,31.965,-12.003,1.136,0.407,0.986,0.000,0.000
741,-45.055,27.015,22.136,3.737,0.402,2.933,34.075,31.855,-12.015,1.133,-0.448,0.983,0.000,0.000
745,-44.810,27.040,22.279,4.013,0.346,1.673,33.862,31.610,-12.040,1.235,0.074,0.956,0.000,0.000
749,-44.535,27.060,22.344,4.315,0.307,0.353,33.616,31.335,-12.060,0.657,-0.299,0.951,0.000,0.000
753,-44.254,27.077,22.325,4.583,0.208,-0.907,33.360,31.054,-12.077,1.513,-0.752,0.942,0.000,0.000
757,-43.957,27.086,22.226,4.839,0.070,-2.167,33.082,30.757,-12.086,0.897,-0.392,0.955,0.000,0.000
761,-43.628,27.085,22.037,5.107,-0.074,-3.487,32.768,30.428,-12.085,0.245,-0.845,0.956,0.000,0.000
765,-43.301,27.073,21.776,5.236,-0.324,-4.747,32.450,30.101,-12.073,1.370,0.466,0.978,0.000,0.000
769,-42.940,27.018,21.573,6.556,-1.742,0.014,32.089,29.740,-12.018,0.988,-0.132,0.967,0.000,0.000
773,-42.497,26.904,21.528,6.859,-1.752,-1.306,31.634,29.297,-11.904,0.826,0.330,0.958,0.000,0.000
777,-42.056,26.794,21.404,7.140,-1.698,-2.566,31.181,28.856,-11.794,1.004,-0.314,0.958,0.000,0.000
781,-41.597,26.687,21.201,7.416,-1.741,-3.826,30.712,28.397,-11.687,1.255,0.504,0.963,0.000,0.000
785,-41.057,26.593,21.060,8.416,-1.177,-2.104,30.175,27.857,-11.593,0.701,-0.258,0.973,0.000,0.000
789,-40.509,26.520,20.923,8.966,-1.268,-2.241,29.640,27.309,-11.520,0.661,-1.041,0.958,0.000,0.000
793,-39.925,26.423,20.840,9.480,-1.858,0,29.064,26.725,-11.423,-0.059,-0.932,0.962,0.000,0.000
797,-39.309,26.276,20.840,9.078,-2.571,0,28.440,26.109,-11.277,-0.389,-0.790,0.963,0.000,0.000
801,-38.759,26.095,20.840,8.385,-3.127,0,27.863,25.559,-11.095,-1.893,0.132,0.957,0.000,0.000
805,-38.257,25.893,20.840,7.542,-3.155,0,27.323,25.057,-10.893,-0.614,-0.113,0.962,0.000,0.000
809,-37.792,25.688,20.840,6.608,-3.101,0,26.814,24.592,-10.688,1.724,0.104,0.973,0.000,0.000
813,-37.381,25.495,20.840,6.691,-2.965,0,26.361,24.181,-10.495,0.751,-0.373,0.960,0.000,0.000
817,-36.947,25.308,20.840,7.059,-3.073,0,25.888,23.747,-10.308,0.442,-0.172,0.959,0.000,0.000
821,-36.469,25.097,20.840,7.416,-3.268,0,25.366,23.269,-10.097,0.210,-1.002,0.960,0.000,1.000
825,-36.010,24.895,20.840,6.926,-3.065,0,24.864,22.810,-9.895,0.747,0.337,0.963,0.000,0.000
829,-35.580,24.716,20.840,6.973,-2.589,0,24.399,22.380,-9.716,1.235,0.131,0.964,0.000,0.000
833,-35.105,24.559,20.840,7.408,-2.270,0,23.900,21.905,-9.559,0.351,-0.046,0.959,0.000,0.000
837,-34.625,24.419,20.840,7.815,-2.213,0,23.404,21.425,-9.419,0.351,1.531,0.959,0.000,0.000
841,-34.126,24.295,20.840,7.926,-1.572,0,22.898,20.926,-9.295,-1.566,0.019,0.967,0.000,0.000
845,-33.618,24.209,20.840,7.287,-1.238,0,22.400,20.419,-9.209,0.025,-1.436,0.959,1.000,0.000
849,-33.174,24.127,21.154,7.031,-1.434,6.558,21.965,19.974,-9.127,0.376,0.800,0.950,1.000,0.000
